"chrom","window","MDS1","MDS2"
"NW_022145598.1",62,0.00405638361406193,0.0648924767913634
"NW_022145598.1",63,-0.00691208254489061,0.00112599861529592
"NW_022145598.1",64,-0.00148593835077447,-0.0107349921585239
"NW_022145598.1",65,-0.00561117167730748,-0.00940000426985584
"NW_022145598.1",66,0.00497667684943046,-0.00814973148770799
"NW_022145598.1",67,-0.00873622587737746,0.00689472140940962
"NW_022145598.1",68,-0.00455804009531904,-0.00719725927246465
"NW_022145598.1",69,-0.00809350593952044,-0.00485179392945587
"NW_022145598.1",70,-0.00512621563099884,-0.00853908215535853
"NW_022145598.1",71,-0.00598816168467181,-0.0120160739667982
"NW_022145598.1",72,-0.00441045670663613,-0.00838548850833892
"NW_022145598.1",73,0.00374645708739923,-0.00177626386983013
"NW_022145598.1",74,-0.0150374957465484,0.00422878253713954
"NW_022145598.1",75,-0.0175034774800221,-0.00283301700759958
"NW_022145598.1",76,-0.0116880255054416,-0.000692408406560581
"NW_022145598.1",77,0.000885689075977174,-0.00789060835563688
"NW_022145598.1",78,-0.0075438591283437,-0.00692642998044178
"NW_022145598.1",79,-0.00838931845889296,-0.00592443674118113
"NW_022145598.1",80,-0.00343570816263197,-0.00561279946791334
"NW_022145598.1",81,-0.0122759064962457,0.00440562778823618
"NW_022145598.1",82,-0.0112783981452458,-0.0173699778824631
"NW_022145598.1",83,-0.00556297287413511,-0.017087315100859
"NW_022145598.1",84,-0.0120300484405871,0.0151374473038045
"NW_022145598.1",85,-0.000948244667471437,-0.00507956889570263
"NW_022145598.1",86,-0.00810475213978555,0.0325541287179344
"NW_022145598.1",87,-0.00426617840746502,0.000869412841941128
"NW_022145598.1",88,-0.000830678463961462,-0.0119263075908932
"NW_022145598.1",89,-0.00254230226961843,0.00119696946115642
"NW_022145598.1",90,-0.00759961652171703,-0.0130340081546807
"NW_022145598.1",91,-0.0106629640272316,0.00510213626124659
"NW_022145598.1",92,0.0195474934124728,-0.000432249914602612
"NW_022145598.1",93,-0.00459505486918398,0.00879489380366349
"NW_022145598.1",94,-0.00488193847483665,-0.00886024830803154
"NW_022145598.1",95,0.00404211830586923,-0.00972079538958609
"NW_022145598.1",96,-0.00749937495109942,0.00454273151702628
"NW_022145598.1",97,-0.0122113475466622,-0.00534507751298609
"NW_022145598.1",98,-0.00463467680131868,-0.00285449577948284
"NW_022145598.1",99,-0.0184588162947512,-0.00792996232882063
"NW_022145598.1",100,0.000665867057363068,0.0126256206379052
"NW_022145598.1",101,0.0291131839062017,0.00931667374695658
"NW_022145598.1",102,-0.00134895134744852,-0.0104831154950004
"NW_022145598.1",103,-0.00169200593053974,-0.00993778628285386
"NW_022145598.1",104,-0.0126376546236057,-0.00297931084724949
"NW_022145598.1",105,0.0034307064892359,-0.00292120769464087
"NW_022145598.1",106,-0.0093858121676364,-0.00746029421603281
"NW_022145598.1",107,0.00516873253196656,-0.00301776220758244
"NW_022145598.1",108,-0.00125571022105877,0.00938929284129925
"NW_022145598.1",109,-0.00335506670364688,-0.0071439982229473
"NW_022145598.1",110,0.0169244956604974,-0.00569921088831227
"NW_022145598.1",111,0.0134514178727774,-0.014486624272418
"NW_022145598.1",112,0.00269870501873687,-0.00930110835982771
"NW_022145598.1",113,-0.00668566507038854,-0.00873582805434609
"NW_022145598.1",114,0.00366611588299318,-0.00792047304854461
"NW_022145598.1",115,0.00656317334462599,-0.00425727260261869
"NW_022145598.1",116,0.0030866524017572,-0.00842610937973273
"NW_022145598.1",117,-0.0039015182448625,-0.0122601648821812
"NW_022145598.1",118,-0.013549117384158,-0.00324151895646061
"NW_022145598.1",119,-0.00176868596470483,-0.00172346277936559
"NW_022145598.1",120,4.07436400862555e-06,0.00342025841242695
"NW_022145598.1",121,-0.000690679648480963,-0.00652439026131818
"NW_022145598.1",122,-0.00245379090795263,-0.0110907321966173
"NW_022145598.1",123,-0.00874200661201589,0.00623586387060727
"NW_022145598.1",124,-0.011745994469246,0.021901377531125
"NW_022145598.1",125,-0.00115830357119484,-0.001106859009508
"NW_022145598.1",126,-0.00654025448696796,0.00545600193538978
"NW_022145598.1",127,-0.00650294916577033,-0.0031090069582391
"NW_022145598.1",128,-0.0115884984420986,-0.00388133820811483
"NW_022145598.1",129,-0.0151655972704726,0.0187695835625914
"NW_022145598.1",130,-0.018843223307973,0.0446141536510949
